id,name_zh,name_en,country,country_en,url,開放第二次出國交換之同學選填,申請組別,GPA要求,年級限制,語言要求,不接受申請之學院,名額,學校年曆,註冊繳費,住宿資訊,注意事項,latitude,longitude
1204,布達佩斯科技經濟大學,Budapest University of Technology and Economics,匈牙利,Hungary,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/1204,否,一般組,GPA 達3.00分以上,大二以上/碩一以上(不含博士生)學生,TOEFL iBT 79 (接受 Home Edition) 或 IELTS 6.0 或 全民英檢中高級,無,一學期1名,Academic Calendar,須在本校註冊並繳交全額學雜費，免繳該校學費，但該校雜費、住宿費、生活費、保險費、往返機票費等均須自行負擔,Students must arrange for housing on their own. More information here.,交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應的系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收。,,47.4784413
324,羅蘭大學,Eötvös Loránd University,匈牙利,Hungary,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/324,否,一般組,無,大二以上/碩一以上/博一以上學生,TOEFL iBT 79 (接受 Home Edition) 或 IELTS 6.0 或 全民英檢中高級,無,全學年1名,Academic Calendar,須在本校註冊並繳交全額學雜費，免繳該校學費，但該校雜費、住宿費、生活費、保險費、往返機票費等均須自行負擔,Students can apply for dormitory places or arrange their accommodation privately. Bilateral exchange students usually got a place in our dormitory. Dormitory fee in 2-beded room: approx. HUF 70000 per month. Check this webpage.,交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應的系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收。,,47.4934799
374,冰島大學,University of Iceland,冰島,Iceland,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/374,否,一般組,無,大二以上/碩一以上/博一以上學生,TOEFL iBT 79 (不接受 Home Edition) 或 IELTS 6.5,法律學院法律學系、社會科學院經濟學系、管理學院企業管理碩士專班、理學院心理學系、理學院心理學研究所、醫學院、公共衛生學院,全學年1名,Academic Calendar,須在本校註冊並繳交全額學雜費，免繳該校學費，但該校雜費、住宿費、生活費、保險費、往返機票費等均須自行負擔,The University of Iceland does not provide or guarantee housing for students but information on this website may be helpful.,交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應的系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收,,64.1401831
1295,米蘭理工大學,Politecnico di Milano,義大利,Italy,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/1295,是,一般組,無,大三/大四/大五/碩一以上(不含博士生)學生,TOEFL iBT 79 (不接受 Home Edition) 或 IELTS 6.0 或 全民英檢中高級,建築與設計學院,一學期2名,Academic Calendar,須在本校註冊並繳交全額學雜費，免繳該校學費，但該校雜費、住宿費、生活費、保險費、往返機票費等均須自行負擔,Students must arrange for housing on their own. More information here.,交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應的系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收。,,45.0482825
1051,聖心天主教大學,Catholic University of the Sacred Heart,義大利,Italy,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/1051,是,一般組,GPA 達2.70分以上,大二以上/碩一以上(不含博士生)學生,TOEFL iBT 79 (不接受 Home Edition) 或 IELTS 6.0 或 全民英檢中高級；或具義大利語能力證明,無,全學年1名,Academic Calendar,須在本校註冊並繳交全額學雜費，免繳該校學費，但該校雜費、住宿費、生活費、保險費、往返機票費等均須自行負擔,Students must arrange for housing on their own. More information here.,交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應的系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收。,,
1039,波隆納大學,University of Bologna (UNIBO),義大利,Italy,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/1039,否,一般組,無,大二以上/碩一以上(不含博士生)學生,TOEFL iBT 79 (接受 Home Edition) 或 IELTS 6.0 或 全民英檢中高級；或具義大利語能力證明,醫學院、公共衛生學院,全學年2名,Academic Calendar,須在本校註冊並繳交全額學雜費，免繳該校學費，但該校雜費、住宿費、生活費、保險費、往返機票費等均須自行負擔,Students must arrange for housing on their own. More information here.,交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應的系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收。,,44.4352269
535,拉脫維亞大學,University of Latvia,拉脫維亞,Latvia,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/535,否,一般組,GPA 達3.00分以上,大二以上/碩一以上(不含博士生)學生,TOEFL iBT 80 (接受 Home Edition) 或 IELTS 6.0 或 全民英檢中高級,工學院,全學年1名,Academic Calendar,須在本校註冊並繳交全額學雜費，免繳該校學費，但該校雜費、住宿費、生活費、保險費、往返機票費等均須自行負擔,Off-campus housing guaranteed. More information here.,交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應的系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收。,,56.950744
989,考納斯理工大學,Kaunas University of Technology,立陶宛,Lithuania,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/989,否,一般組,無,大二以上/碩一以上(不含博士生)學生,TOEFL iBT 79 (接受 Home Edition) 或 IELTS 6.0 或 全民英檢中高級,無,全學年1名,Academic Calendar,須在本校註冊並繳交全額學雜費，免繳該校學費，但該校雜費、住宿費、生活費、保險費、往返機票費等均須自行負擔,Not guaranteed, but students can apply for housing. More information here.,['交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應的系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收。'],54.8988052
1040,維爾紐斯大學,Vilnius University,立陶宛,Lithuania,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/1040,是,一般組,無,大二以上/碩一以上/博一以上學生,TOEFL iBT 79 (接受 Home Edition) 或 IELTS 6.0 或 全民英檢中高級,無,全學年2名,Academic Calendar,須在本校註冊並繳交全額學雜費，免繳該校學費，但該校雜費、住宿費、生活費、保險費、往返機票費等均須自行負擔,Not guaranteed, but students can apply for housing. More information here.,['交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應的系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收。'],54.682847
1100,盧森堡大學,University of Luxembourg,盧森堡,Luxembourg,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/1100,是,法語組/德語組,無,大二以上/碩一以上/博一以上學生,法語組：TOEFL iBT 88 (讀 22 聽 22 說 22 寫 22 接受 Home Edition) 或 IELTS 7.0 或 全民英檢中高級；或具法語檢定成績 B2(中高級) 級以上；德語組：TOEFL iBT 88 (讀 22 聽 22 說 22 寫 22 接受 Home Edition) 或 IELTS 7.0 或 全民英檢中高級；或具德語檢定成績 B2(中高級) 級以上,無,法語組全學年1名；德語組全學年1名,Academic Calendar,須在本校註冊並繳交全額學雜費，免繳該校學費，但該校雜費、住宿費、生活費、保險費、往返機票費等均須自行負擔,Not guaranteed, but students can apply for housing. More information here.,['交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應的系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收。'],49.5036259
